"","county_origin","temperature","Date"
"151","Osorno",284.594095230103,19
"152","Palena",281.431369488056,19
"153","Parinacota",279.069893576882,19
"154","Petorca",284.48057047526,19
"155","Punilla",284.241549682617,19
"156","Quillota",285.807403564453,19
"157","Ranco",284.998859950474,19
"158","San Antonio",285.301330566406,19
"159","San Felipe",285.185020446777,19
"160","Provincia de Santiago",282.664237976074,19
"161","Talagante",287.355895996094,19
"162","Talca",283.520853042603,19
"163","Tamarugal",287.244471232096,19
"164","Tierra del Fuego",282.792449951172,19
"165","Tocopilla",291.553357211026,19
"166","Ultima Esperanza",280.505764516195,19
"167","Valdivia",284.705521647135,19
"168","Provincia de Valparaíso",285.531514485677,19
"169","Antártica Chilena",279.367578843061,20
"170","Antofagasta",286.469671190399,20
"171","Arauco",284.357279459635,20
"172","Arica",288.152479905349,20
"173","Aysén",280.269164675758,20
"174","Bío-Bío",282.810389404297,20
"175","Cachapoal",283.119087219238,20
"176","Capitán Prat",277.243959831469,20
"177","Cardenal Caro",287.344243367513,20
"178","Cauquenes",284.891351318359,20
"179","Cautín",284.251815795898,20
"180","Provincia de Chacabuco",286.657033284505,20
"181","Chañaral",280.959285312229,20
"182","Chiloe",283.20096206665,20
"183","Choapa",282.906582103056,20
"184","Colchagua",285.001482282366,20
"185","Provincia de Concepción",285.280249023437,20
"186","Copiapó",281.172782430843,20
"187","Provincia de Cordillera",273.635707855225,20
"188","Coyhaique",279.121956787109,20
"189","Curicó",282.177853670987,20
"190","Diguillín",284.008529663086,20
"191","El Loa",281.059679968882,20
"192","Provincia de Elqui",280.401695838341,20
"193","General Carrera",277.334497866423,20
"194","Huasco",282.706406813401,20
"195","Iquique",288.546376546224,20
"196","Isla de Pascua",NA,20
"197","Itata",285.170761108398,20
"198","Limarí",283.082641601562,20
"199","Linares",283.957977294922,20
"200","Llanquihue",282.692258394682,20
"201","Los Andes",276.01787109375,20
"202","Magallanes",280.830906407973,20
"203","Provincia de Maipo",287.120086669922,20
"204","Malleco",282.04756894319,20
"205","Marga Marga",286.817779541016,20
"206","Melipilla",287.378387451172,20
"207","Osorno",283.7854347229,20
"208","Palena",280.152043269231,20
"209","Parinacota",279.767123135653,20
"210","Petorca",284.23551940918,20
"211","Punilla",284.267587280273,20
"212","Quillota",287.205139160156,20
"213","Ranco",283.662564958845,20
"214","San Antonio",286.918029785156,20
"215","San Felipe",284.652709960938,20
"216","Provincia de Santiago",281.606346130371,20
"217","Talagante",287.684234619141,20
"218","Talca",284.011274337769,20
"219","Tamarugal",286.73375278049,20
"220","Tierra del Fuego",281.841589886209,20
"221","Tocopilla",290.606327403675,20
"222","Ultima Esperanza",278.50389175415,20
"223","Valdivia",283.528025309245,20
"224","Provincia de Valparaíso",286.252451578776,20
"225","Antártica Chilena",278.207545560949,21
"226","Antofagasta",287.202805666579,21
"227","Arauco",283.902862548828,21
"228","Arica",288.190082256611,21
"229","Aysén",279.05812399728,21
"230","Bío-Bío",282.037308349609,21
"231","Cachapoal",283.874366760254,21
"232","Capitán Prat",275.607672026663,21
"233","Cardenal Caro",289.298161824544,21
"234","Cauquenes",285.658148193359,21
"235","Cautín",281.53202718099,21
"236","Provincia de Chacabuco",289.722696940104,21
"237","Chañaral",282.299352010091,21
"238","Chiloe",282.033987045288,21
"239","Choapa",284.692905201631,21
"240","Colchagua",285.907339913504,21
"241","Provincia de Concepción",286.007250976562,21
"242","Copiapó",283.202071832151,21
"243","Provincia de Cordillera",274.916400909424,21
"244","Coyhaique",276.694431152344,21
"245","Curicó",282.792788418857,21
"246","Diguillín",283.513935089111,21
"247","El Loa",281.591053073689,21
"248","Provincia de Elqui",282.913224440355,21
"249","General Carrera",275.898653776749,21
"250","Huasco",285.262599064754,21
"251","Iquique",288.644348144531,21
"252","Isla de Pascua",NA,21
"253","Itata",285.781265258789,21
"254","Limarí",285.340010793586,21
"255","Linares",283.543510437012,21
"256","Llanquihue",279.516532311073,21
"257","Los Andes",276.878686523438,21
"258","Magallanes",280.068776568244,21
"259","Provincia de Maipo",289.872100830078,21
"260","Malleco",279.934413744056,21
"261","Marga Marga",289.550323486328,21
"262","Melipilla",289.439768473307,21
"263","Osorno",281.117849349976,21
"264","Palena",277.342003455529,21
"265","Parinacota",279.736244895241,21
"266","Petorca",286.270929972331,21
"267","Punilla",283.95754699707,21
"268","Quillota",289.348510742188,21
"269","Ranco",280.317027500698,21
"270","San Antonio",288.903366088867,21
"271","San Felipe",286.861129760742,21
"272","Provincia de Santiago",283.817649841309,21
"273","Talagante",289.762176513672,21
"274","Talca",284.281482696533,21
"275","Tamarugal",286.960250289352,21
"276","Tierra del Fuego",280.04161270805,21
"277","Tocopilla",291.05341685902,21
"278","Ultima Esperanza",277.59305267334,21
"279","Valdivia",280.987538655599,21
"280","Provincia de Valparaíso",288.269063313802,21
