"","county_origin","precipitation","Date"
"131","Provincia de Cordillera",0.000197822851077945,19
"132","Coyhaique",4.29948167735006e-07,19
"133","Curicó",3.06873609423002e-05,19
"134","Diguillín",2.25206213144702e-05,19
"135","El Loa",1.01024820789112e-06,19
"136","Provincia de Elqui",4.9513884412715e-05,19
"137","General Carrera",7.93000921894344e-07,19
"138","Huasco",6.37311208319711e-07,19
"139","Iquique",2.10007023676203e-05,19
"140","Isla de Pascua",NA,19
"141","Itata",4.96705374608553e-08,19
"142","Limarí",5.92470164819085e-05,19
"143","Linares",1.45373243364277e-05,19
"144","Llanquihue",1.02168474501131e-06,19
"145","Los Andes",0.000275127089116722,19
"146","Magallanes",0.00070528002375153,19
"147","Provincia de Maipo",4.83989715576172e-05,19
"148","Malleco",2.76997473595239e-05,19
"149","Marga Marga",0,19
"150","Melipilla",6.25517638278931e-06,19
"151","Osorno",3.21740910713686e-06,19
"152","Palena",5.34913487863028e-09,19
"153","Parinacota",0.000198387738650622,19
"154","Petorca",6.60320136240955e-05,19
"155","Punilla",3.373622894145e-05,19
"156","Quillota",0,19
"157","Ranco",1.66240192227869e-05,19
"158","San Antonio",1.13248825073242e-06,19
"159","San Felipe",0.000108584763665931,19
"160","Provincia de Santiago",0.000231484575124341,19
"161","Talagante",4.84784459331422e-06,19
"162","Talca",8.73704739656755e-06,19
"163","Tamarugal",4.97845954084687e-06,19
"164","Tierra del Fuego",0.000342563442206048,19
"165","Tocopilla",3.13105009523569e-06,19
"166","Ultima Esperanza",0.000219874746267124,19
"167","Valdivia",1.37991376354544e-05,19
"168","Provincia de Valparaíso",1.98019874157277e-06,19
"169","Antártica Chilena",0.000225709346630217,20
"170","Antofagasta",2.03597994106575e-07,20
"171","Arauco",2.15768813707958e-05,20
"172","Arica",3.58239208007551e-06,20
"173","Aysén",0.00104436231188066,20
"174","Bío-Bío",4.06694410609987e-05,20
"175","Cachapoal",1.7436014464541e-05,20
"176","Capitán Prat",0.000813249082332759,20
"177","Cardenal Caro",3.94052920664005e-07,20
"178","Cauquenes",8.54333228517135e-07,20
"179","Cautín",8.58214165721923e-05,20
"180","Provincia de Chacabuco",3.70277296800244e-05,20
"181","Chañaral",4.33678979049211e-06,20
"182","Chiloe",0.000522869328051456,20
"183","Choapa",2.25340619341724e-05,20
"184","Colchagua",1.1881192688991e-05,20
"185","Provincia de Concepción",3.45706943960522e-07,20
"186","Copiapó",3.67829591941792e-05,20
"187","Provincia de Cordillera",0.000110780200429872,20
"188","Coyhaique",0.000278536480036564,20
"189","Curicó",1.66549829197555e-05,20
"190","Diguillín",2.97153985684417e-05,20
"191","El Loa",1.02708566472857e-07,20
"192","Provincia de Elqui",4.16812225934721e-05,20
"193","General Carrera",0.000618697940650315,20
"194","Huasco",4.75690917972188e-06,20
"195","Iquique",1.87423496148161e-05,20
"196","Isla de Pascua",NA,20
"197","Itata",4.66903055773571e-07,20
"198","Limarí",4.32395099748742e-05,20
"199","Linares",2.81035897469195e-05,20
"200","Llanquihue",0.000313874234472258,20
"201","Los Andes",7.89562869613292e-05,20
"202","Magallanes",0.000265511813728046,20
"203","Provincia de Maipo",1.96695327758789e-05,20
